iter	Passed	Remaining
0	58	29123
1	63	15810
2	66	10982
3	68	8554
4	71	7070
5	73	6086
6	76	5394
7	79	4878
8	81	4472
9	84	4136
10	87	3873
11	89	3654
12	92	3467
13	95	3314
14	98	3179
15	101	3055
16	103	2945
17	106	2844
18	109	2759
19	112	2703
20	115	2637
21	118	2578
22	121	2517
23	124	2461
24	126	2405
25	129	2359
26	132	2320
27	135	2277
28	137	2240
29	140	2204
30	143	2169
31	146	2136
32	148	2103
33	151	2070
34	153	2042
35	156	2015
36	159	1989
37	162	1977
38	165	1960
39	168	1940
40	171	1920
41	174	1899
42	177	1881
43	180	1868
44	183	1850
45	185	1833
46	188	1817
47	191	1800
48	193	1785
49	196	1771
50	200	1766
51	203	1753
52	206	1739
53	208	1726
54	211	1712
55	214	1700
56	217	1688
57	219	1676
58	222	1664
59	225	1653
60	228	1642
61	231	1632
62	233	1622
63	236	1612
64	239	1602
65	242	1592
66	245	1583
67	247	1574
68	250	1565
69	253	1556
70	256	1547
71	258	1538
72	261	1530
73	264	1521
74	267	1513
75	269	1505
76	272	1497
77	275	1490
78	278	1482
79	281	1475
80	283	1468
81	286	1460
82	289	1453
83	292	1447
84	294	1440
85	297	1433
86	300	1426
87	303	1419
88	305	1412
89	308	1406
90	311	1401
91	317	1409
92	320	1404
93	323	1398
94	326	1392
95	329	1386
96	332	1380
97	335	1374
98	337	1368
99	340	1362
100	343	1355
101	346	1350
102	348	1344
103	358	1366
104	362	1363
105	365	1357
106	368	1352
107	372	1352
108	375	1347
109	378	1341
110	381	1336
111	384	1330
112	386	1324
113	389	1319
114	392	1313
115	395	1307
116	397	1302
117	400	1297
118	406	1301
119	411	1302
120	414	1298
121	417	1293
122	420	1287
123	422	1282
124	426	1278
125	428	1272
126	431	1267
127	434	1262
128	440	1266
129	443	1261
130	446	1256
131	448	1250
132	451	1245
133	453	1239
134	456	1234
135	459	1229
136	462	1224
137	464	1219
138	467	1214
139	470	1209
140	473	1204
141	477	1203
142	479	1197
143	482	1193
144	485	1188
145	488	1183
146	491	1181
147	494	1176
148	497	1171
149	499	1166
150	502	1161
151	505	1156
152	509	1155
153	512	1150
154	514	1146
155	517	1141
156	520	1136
157	522	1131
158	525	1127
159	528	1122
160	531	1118
161	533	1113
162	536	1109
163	539	1104
164	541	1100
165	544	1095
166	547	1090
167	549	1086
168	552	1081
169	555	1077
170	558	1073
171	560	1068
172	563	1064
173	565	1059
174	567	1054
175	570	1050
176	573	1045
177	576	1043
178	581	1042
179	584	1039
180	588	1036
181	590	1032
182	593	1028
183	596	1024
184	599	1021
185	603	1019
186	607	1016
187	610	1013
